Motif_Identifier	GO_Term_Identifier	GOMo_Score	p-value	q-value
11	GO:0007166	8.385e-04	8.479e-08	4.509e-05
11	GO:0005102	1.108e-03	8.479e-08	4.509e-05
11	GO:0044459	1.203e-03	8.479e-08	4.509e-05
11	GO:0016020	1.217e-03	8.479e-08	4.509e-05
11	GO:0044425	1.317e-03	8.479e-08	4.509e-05
11	GO:0016021	1.430e-03	8.479e-08	4.509e-05
11	GO:0048731	1.441e-03	8.479e-08	4.509e-05
11	GO:0051239	1.465e-03	8.479e-08	4.509e-05
11	GO:0004930	1.769e-03	8.479e-08	4.509e-05
11	GO:0003008	2.078e-03	8.479e-08	4.509e-05
11	GO:0031226	2.643e-03	2.544e-07	1.291e-04
11	GO:0007275	3.489e-03	7.631e-07	3.705e-04
11	GO:0046888	3.914e-03	1.441e-06	6.707e-04
11	GO:0005887	4.020e-03	1.611e-06	7.014e-04
11	GO:0001501	4.151e-03	1.696e-06	7.014e-04
11	GO:0050877	4.164e-03	1.696e-06	7.014e-04
11	GO:0002376	4.437e-03	2.205e-06	8.792e-04
11	GO:0050772	5.210e-03	3.052e-06	1.175e-03
11	GO:0051048	6.273e-03	4.918e-06	1.831e-03
11	GO:0000904	6.585e-03	6.105e-06	2.199e-03
11	GO:0019955	6.828e-03	6.359e-06	2.219e-03
11	GO:0004984	7.075e-03	7.377e-06	2.482e-03
11	GO:0048667	7.210e-03	7.885e-06	2.482e-03
11	GO:0031346	7.234e-03	7.885e-06	2.482e-03
11	GO:0048856	7.330e-03	8.055e-06	2.482e-03
11	GO:0048812	7.402e-03	8.225e-06	2.482e-03
11	GO:0007608	7.646e-03	8.818e-06	2.591e-03
11	GO:0009605	8.001e-03	1.026e-05	2.938e-03
11	GO:0007409	8.292e-03	1.102e-05	3.077e-03
11	GO:0006955	8.437e-03	1.162e-05	3.164e-03
11	GO:0042165	9.667e-03	1.772e-05	4.712e-03
11	GO:0031225	1.014e-02	2.052e-05	5.329e-03
11	GO:0010975	1.032e-02	2.247e-05	5.703e-03
11	GO:0050890	1.072e-02	2.493e-05	6.186e-03
11	GO:0030005	1.109e-02	2.790e-05	6.708e-03
11	GO:0031344	1.117e-02	2.823e-05	6.708e-03
11	GO:0055074	1.160e-02	3.264e-05	7.594e-03
11	GO:0006874	1.188e-02	3.553e-05	8.096e-03
11	GO:0002682	1.199e-02	3.629e-05	8.105e-03
11	GO:0055065	1.210e-02	3.731e-05	8.169e-03
11	GO:0050770	1.305e-02	4.816e-05	1.034e-02
11	GO:0048858	1.352e-02	5.325e-05	1.105e-02
11	GO:0050865	1.356e-02	5.342e-05	1.105e-02
11	GO:0006875	1.378e-02	5.664e-05	1.149e-02
11	GO:0007606	1.413e-02	6.028e-05	1.149e-02
11	GO:0045595	1.414e-02	6.037e-05	1.149e-02
11	GO:0055066	1.415e-02	6.054e-05	1.149e-02
11	GO:0051046	1.421e-02	6.071e-05	1.149e-02
11	GO:0031345	1.445e-02	6.368e-05	1.166e-02
11	GO:0070820	1.447e-02	6.368e-05	1.166e-02
11	GO:0005179	1.473e-02	6.758e-05	1.217e-02
11	GO:0051094	1.537e-02	7.792e-05	1.381e-02
11	GO:0002684	1.580e-02	8.504e-05	1.484e-02
11	GO:0005125	1.625e-02	9.225e-05	1.585e-02
11	GO:0032990	1.634e-02	9.403e-05	1.591e-02
11	GO:0022603	1.644e-02	9.674e-05	1.612e-02
11	GO:0032502	1.667e-02	1.012e-04	1.661e-02
11	GO:0006952	1.679e-02	1.031e-04	1.669e-02
11	GO:0030003	1.726e-02	1.134e-04	1.808e-02
11	GO:0007610	1.772e-02	1.243e-04	1.933e-02
11	GO:0045650	1.773e-02	1.246e-04	1.933e-02
11	GO:0008066	1.791e-02	1.278e-04	1.955e-02
11	GO:0001657	1.820e-02	1.348e-04	2.034e-02
11	GO:0048513	1.854e-02	1.435e-04	2.137e-02
11	GO:0048878	1.913e-02	1.586e-04	2.330e-02
11	GO:0045649	1.926e-02	1.621e-04	2.348e-02
11	GO:0055082	1.933e-02	1.640e-04	2.348e-02
11	GO:0030278	1.961e-02	1.715e-04	2.386e-02
11	GO:0004896	1.966e-02	1.725e-04	2.386e-02
11	GO:0045597	1.985e-02	1.784e-04	2.386e-02
11	GO:0031175	1.989e-02	1.787e-04	2.386e-02
11	GO:0051480	1.990e-02	1.794e-04	2.386e-02
11	GO:0016298	1.998e-02	1.811e-04	2.386e-02
11	GO:0005126	2.002e-02	1.826e-04	2.386e-02
11	GO:0010769	2.008e-02	1.837e-04	2.386e-02
11	GO:0005234	2.015e-02	1.868e-04	2.398e-02
11	GO:0007399	2.033e-02	1.914e-04	2.411e-02
11	GO:0002694	2.036e-02	1.921e-04	2.411e-02
11	GO:0009611	2.214e-02	2.491e-04	3.091e-02
11	GO:0006873	2.238e-02	2.560e-04	3.141e-02
11	GO:0045619	2.280e-02	2.717e-04	3.299e-02
11	GO:0045664	2.331e-02	2.908e-04	3.492e-02
11	GO:0030879	2.348e-02	2.968e-04	3.525e-02
11	GO:0050771	2.372e-02	3.063e-04	3.600e-02
11	GO:0007154	2.388e-02	3.112e-04	3.608e-02
11	GO:0006959	2.393e-02	3.134e-04	3.608e-02
11	GO:0001602	2.426e-02	3.264e-04	3.720e-02
11	GO:0006836	2.442e-02	3.325e-04	3.723e-02
11	GO:0065007	2.445e-02	3.334e-04	3.723e-02
11	GO:0006935	2.495e-02	3.548e-04	3.880e-02
11	GO:0042330	2.495e-02	3.548e-04	3.880e-02
11	GO:0007267	2.502e-02	3.579e-04	3.880e-02
11	GO:0007600	2.580e-02	3.898e-04	4.168e-02
11	GO:0048518	2.587e-02	3.919e-04	4.168e-02
11	GO:0031294	2.616e-02	4.050e-04	4.227e-02
11	GO:0031295	2.616e-02	4.050e-04	4.227e-02
11	GO:0004970	2.645e-02	4.194e-04	4.336e-02
11	GO:0050776	2.707e-02	4.466e-04	4.575e-02
11	GO:0048699	2.721e-02	4.546e-04	4.615e-02
11	GO:0015277	2.769e-02	4.795e-04	4.824e-02
13	GO:0003735	8.750e-03	4.324e-06	2.666e-02
